age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
38,4,215646,8,9,0,6,1,1,0,0,40,38,0
53,4,234721,1,7,2,6,0,1,0,0,40,38,0
28,4,338409,6,13,2,10,5,0,0,0,40,5,0
37,4,284582,9,14,2,4,5,0,0,0,40,38,0
52,6,209642,8,9,2,4,0,1,0,0,45,38,1
30,7,141297,6,13,2,10,0,1,0,0,40,18,1
32,4,205019,4,12,4,12,1,1,0,0,50,38,0
40,4,121772,5,11,2,3,0,1,0,0,40,0,1
25,6,176756,8,9,4,5,3,1,0,0,35,38,0
32,4,186824,8,9,4,7,4,1,0,0,40,38,0
38,4,28887,1,7,2,12,0,1,0,0,50,38,0
43,6,292175,9,14,0,4,4,0,0,0,45,38,1
35,1,76845,3,5,2,5,0,1,0,0,40,38,0
59,4,109015,8,9,0,13,4,0,0,0,40,38,0
56,2,216851,6,13,2,13,0,1,0,0,40,38,1
19,4,168294,8,9,4,3,3,1,0,0,40,38,0
49,4,193366,8,9,2,3,0,1,0,0,40,38,0
23,2,190709,4,12,4,11,1,1,0,0,52,38,0
20,4,266015,11,10,4,12,3,1,0,0,44,38,0
30,1,59951,11,10,2,1,3,1,0,0,40,38,0
48,4,242406,1,7,4,7,4,1,0,0,40,32,0
21,4,197200,11,10,4,7,3,1,0,0,40,38,0
31,4,84154,11,10,2,12,0,1,0,0,38,0,1
48,6,265477,4,12,2,10,0,1,0,0,40,38,0
53,6,88506,6,13,2,10,0,1,0,0,40,38,0
24,4,172987,6,13,2,13,0,1,0,0,50,38,0
49,4,94638,8,9,5,1,4,0,0,0,40,38,0
25,4,289980,8,9,4,6,1,1,0,0,35,38,0
57,1,337895,6,13,2,10,0,1,0,0,40,38,1
53,4,144361,8,9,2,7,0,1,0,0,38,38,0
44,4,128354,9,14,0,4,4,0,0,0,40,38,0
41,7,101603,5,11,2,3,0,1,0,0,40,38,0
29,4,271466,5,11,4,10,1,1,0,0,43,38,0
25,4,32275,11,10,2,4,5,0,0,0,40,38,0
43,4,237993,11,10,2,13,0,1,0,0,40,38,1
35,4,56352,5,11,2,8,0,1,0,0,40,32,0
41,4,147372,8,9,2,1,0,1,0,0,48,38,0
48,4,149640,8,9,2,14,0,1,0,0,40,38,0
42,4,116632,7,16,2,10,0,1,0,0,45,38,1
36,4,155537,8,9,2,3,0,1,0,0,40,38,0
28,4,183175,11,10,0,1,1,0,0,0,40,38,0
53,4,169846,8,9,2,1,5,0,0,0,40,38,1
49,5,191681,11,10,2,4,0,1,0,0,50,38,1
25,0,200681,11,10,4,0,3,1,0,0,40,38,0
31,4,309974,6,13,5,12,3,0,0,0,40,38,0
23,4,211678,11,10,4,7,1,1,0,0,40,38,0
27,4,213921,8,9,4,8,3,1,0,0,40,25,0
40,4,32214,4,12,2,1,0,1,0,0,40,38,0
52,4,276515,6,13,2,8,0,1,0,0,40,5,0
46,4,51618,8,9,2,8,5,0,0,0,40,38,0
59,4,159937,8,9,2,12,0,1,0,0,48,38,0
53,4,346253,8,9,0,12,3,0,0,0,35,38,0
49,2,268234,8,9,2,11,0,1,0,0,40,38,1
33,4,202051,9,14,2,10,0,1,0,0,50,38,0
30,4,54334,3,5,4,12,1,1,0,0,40,38,0
43,1,410867,7,16,4,10,1,0,0,0,50,38,1
57,4,249977,5,11,2,10,0,1,0,0,40,38,0
37,4,286730,11,10,0,3,4,0,0,0,40,38,0
34,2,226296,6,13,2,11,0,1,0,0,40,38,1
29,2,115585,11,10,4,6,1,1,0,0,50,38,0
37,4,202683,11,10,2,12,0,1,0,0,48,38,1
48,4,171095,4,12,0,4,4,0,0,0,40,9,0
32,1,249409,8,9,4,8,3,1,0,0,40,38,0
76,4,124191,9,14,2,4,0,1,0,0,40,38,1
47,6,149116,9,14,4,10,1,0,0,0,50,38,0
20,4,188300,11,10,4,13,3,0,0,0,40,38,0
29,4,103432,8,9,4,3,1,1,0,0,40,38,0
30,4,194901,1,7,4,6,3,1,0,0,40,38,0
31,2,189265,8,9,4,1,1,0,0,0,40,38,0
42,4,124692,8,9,2,6,0,1,0,0,40,38,0
38,4,65324,10,15,2,10,0,1,0,0,40,38,1
36,4,102864,8,9,4,7,3,0,0,0,40,38,0
53,4,95647,3,5,2,6,0,1,0,0,50,38,0
56,5,303090,11,10,2,12,0,1,0,0,50,38,0
49,2,197371,5,11,2,3,0,1,0,0,40,38,1
